name;date;christmas bonus;disburse;performance (%)
Willow Carr;Aug 6, 2022;86,65;FALSE;10
Felicia Dillon;Mar 15, 2022;37,65;TRUE;32
Kadeem Middleton;Falsev 21, 2021;56,67;Maybe;44
Victor Bridges;Mar 21, 2021;44,18;FALSE;86
Burton Casey;Jan 18, 2022;64,54;TRUE;93
Deborah Cherry;May 8, 2021;32,1;FALSE;41
Yasir Madden;Jul 8, 2022;79,14;FALSE;81
Hector Forbes;Feb 3, 2021;100;FALSE;100
Clarke Vance;Jun 19, 2022;45;FALSE;94
Barbara Booker;Jan 1, 2022;22,4;TRUE;23
Ava Sims;Oct 11, 2021;12,2;TRUE;18
Bryar Solomon;Sep 3, 2022;98,67;TRUE;68
Brennan Barron;Mar 1, 2022;34,96;FALSE;44
Venus Cote;Apr 17, 2021;59,94;TRUE;93
Jasper Davidson;May 2, 2022;99,67;FALSE;81
Indira Barber;Jun 10, 2022;52,02;FALSE;81
Burke George;Jun 25, 2022;26,81;TRUE;28
Zachary Maddox;Oct 29, 2021;93,4;TRUE;46
Phyllis Robinson;Jun 22, 2021;14,34;Maybe;26
Inga Brooks;Dec 25, 2021;62,66;FALSE;22
Keefe Coleman;Jan 10, 2021;14,2;TRUE;62
Wynne Nichols;Falsev 14, 2021;17,67;FALSE;34
Hop Glover;Oct 22, 2021;43,55;TRUE;one
Chelsea Brady;Jan 21, 2022;93,74;FALSE;9
Cathleen Davis;May 29, 2021;68,12;TRUE;39
Ishmael Stevens;Dec 26, 2020;82,06;TRUE;31
Melanie Clemons;Sep 5, 2021;30,79;TRUE;75
Addison Fuentes;Apr 8, 2021;22,5;Maybe;71
Mollie Barry;Feb 22, 2022;32,4;FALSE;29
Sydney Horne;Feb 7, 2022;36,6;Maybe;34
Tatum Blanchard;Dec 17, 2020;46,84;FALSE;24
Suki Rivas;Jul 23, 2021;20,43;TRUE;35
Ralph Long;Apr 20, 2022;22,3;TRUE;21
Amanda Lyons;Dec 6, 2021;31,4;TRUE;64
Allen Barrera;Mar 2, 2021;26,4;TRUE;88
Bevis Pitts;Jul 13, 2022;24,67;FALSE;87
Zenaida Richardson;Aug 13, 2022;39,47;TRUE;12
Hope Stanton;Feb 21, 2021;67,26;Maybe;93
Madison Houston;Oct 7, 2021;50,93;TRUE;one
Adam Williamson;Dec 7, 2021;36,5;FALSE;47
Devin Barnes;Dec 24, 2020;93,6;FALSE;23
Brenna Ball;Jul 30, 2022;28,24;FALSE;25
MacKensie Everett;Apr 30, 2022;52,82;Maybe;98
Beck Avery;Aug 31, 2022;46,83;FALSE;97
Nehru Lawson;Jan 22, 2021;96,18;FALSE;15
Christian Sosa;Jun 4, 2022;97,38;TRUE;60
Colin Solis;May 21, 2022;23,74;FALSE;83
Harding Montgomery;Mar 20, 2022;2,3;Maybe;70
Zahir Gilmore;May 16, 2021;36,6;FALSE;30
Aphrodite Pacheco;Jan 19, 2021;75,09;TRUE;one
Aline English;Oct 31, 2021;92,08;Maybe;73
Hammett Barnes;May 7, 2022;75,09;FALSE;7
Brennan Blevins;Falsev 22, 2021;97,28;TRUE;22
Hammett Harrison;Dec 20, 2020;32,46;Maybe;90
Shaeleigh Wiley;Sep 6, 2021;30,13;TRUE;11
Zelenia Richmond;Falsev 6, 2021;55,25;TRUE;76
Riley Welch;Feb 18, 2022;88,37;TRUE;98
Sydney Stark;Sep 12, 2021;55,45;TRUE;65
Daphne Schneider;Feb 3, 2022;75,09;FALSE;81
Tiger Pitts;Mar 5, 2021;19,61;TRUE;18
Stewart Carson;Dec 27, 2021;54,64;TRUE;53
Elaine Short;Apr 27, 2022;47,8;FALSE;62
Herrod Bryant;Sep 20, 2021;15,8;TRUE;92
Wynter Mcmahon;Jan 16, 2022;13,73;TRUE;16
Molly Mills;May 30, 2022;13,73;TRUE;38
Amal Sullivan;Jun 28, 2022;32,4;FALSE;64
Hadley Joseph;Falsev 19, 2021;7,3;FALSE;54
Charity Sears;Dec 30, 2020;24,52;TRUE;20
Leandra Myers;Jul 19, 2021;24,98;TRUE;55
Falselan Myers;Jun 18, 2022;78,55;FALSE;63
Sage Roberson;Oct 5, 2022;89,21;TRUE;34
Thaddeus Byers;Jan 4, 2022;55,2;FALSE;92
Abbot Shaw;Jun 13, 2021;25,69;FALSE;10
Mariko Aguilar;Sep 2, 2021;48,4;FALSE;76
Caldwell Flynn;Falsev 28, 2021;72,3;TRUE;78
Christian Farrell;Aug 14, 2022;3,3;FALSE;92
Asher ArFalseld;Mar 19, 2022;88,03;TRUE;84
Zephr O'conFalser;Dec 18, 2020;89;TRUE;99
Brian Fleming;Jan 12, 2021;0,08;TRUE;19
Lucas Burns;Apr 29, 2022;26,23;FALSE;94
Phillip Maddox;May 25, 2021;49,17;TRUE;35
Serena Landry;May 31, 2022;19,39;FALSE;83
Zenia Mercado;Mar 20, 2022;71,45;FALSE;37
Hollee Ward;Jan 3, 2022;75,47;FALSE;32
Vera Burt;Jan 6, 2022;33,08;TRUE;17
Kyla Malone;May 27, 2021;76,3;FALSE;7
Wang Mcgee;Aug 27, 2021;61,2;FALSE;7
Thor Kline;Falsev 12, 2021;24,97;TRUE;7
Courtney Keith;Falsev 1, 2021;52,79;TRUE;71
Derek Falserris;May 4, 2022;65,96;TRUE;18
Wang Farrell;Falsev 5, 2022;92,39;TRUE;19
Shad Sharp;Falsev 5, 2022;13,59;TRUE;63
Ori Whitley;Sep 27, 2021;60,33;FALSE;95
Camilla Russo;Aug 1, 2022;75,66;TRUE;70
Eaton Hernandez;Mar 16, 2022;23,97;TRUE;88
Julian Falseble;Dec 14, 2021;39,51;TRUE;95
Petra Rodgers;Jul 11, 2022;55,2;TRUE;26
Mohammad Sloan;Apr 3, 2021;77,05;FALSE;76
Shelby Decker;Falsev 9, 2022;20,5;TRUE;83
Jade Stanley;May 7, 2021;33,5;FALSE;48
